Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Product ID,Product Name,Category,Sub Category,Sales,Quantity,Discount,Profit,Country,State,City,Region
ORD-000001,2024-01-26,2024-01-29,CUST-0211,Vikram Verma,Home Office,PROD-0032,"Sweetcrispy Home Office Managerial Executive Chair, Ergonomic Mesh Adjustable Sw",Furniture,Chairs,17659.95,3,0.0,232.14,United States,East,New York,East
ORD-000002,2024-10-23,2024-10-25,CUST-0311,Jennifer Verma,Home Office,PROD-0046,"Garmin Instinct® 3 45mm, Solar Charged Display, Rugged Outdoor GPS Smartwatch, M",Technology,Wearables,172482.84,6,0.0,21080.66,United States,East,New York,East
ORD-000003,2025-12-28,2025-12-31,CUST-0332,John Jones,Home Office,PROD-0005,"GEEKOM GeekBook X16 Pro 2.8 lbs Laptop, 16"" IPS 2.5K 16:10 Laptop Computer, Ultr",Technology,Computers,549400.14,5,0.15,106922.32,United States,West,Seattle,West
ORD-000004,2024-05-02,2024-05-06,CUST-0215,David Patel,Corporate,PROD-0052,"Bluetooth Speaker Wireless,IP67 Waterproof & Dustproof Portable Speaker with Lig",Technology,Audio,5746.74,3,0.0,1012.71,United States,East,Boston,East
ORD-000005,2024-12-10,2024-12-13,CUST-0017,Rahul Garcia,Corporate,PROD-0054,"Marshall Emberton II Portable Bluetooth Speaker, Black & Brass",Technology,Audio,16750.55,2,0.05,5067.55,United States,East,Philadelphia,East
ORD-000006,2024-06-24,2024-07-01,CUST-0007,James Miller,Corporate,PROD-0042,"Amazon Basics Classic Puresoft PU Padded Mid-Back Office Chair with Armrest, Hei",Furniture,Chairs,49593.94,6,0.2,7687.1,United States,Central,Chicago,Central
ORD-000007,2023-10-17,2023-10-22,CUST-0111,Aman Garcia,Home Office,PROD-0032,"Sweetcrispy Home Office Managerial Executive Chair, Ergonomic Mesh Adjustable Sw",Furniture,Chairs,23546.6,5,0.2,1657.73,United States,Central,Chicago,Central
ORD-000008,2024-05-24,2024-05-27,CUST-0245,Mary Verma,Corporate,PROD-0018,"Lenovo E310 True Wireless Earbuds, Bluetooth 5.3 TWS Headphones with 13mm Driver",Technology,Audio,8533.03,6,0.1,1798.54,United States,East,Boston,East
ORD-000009,2025-07-05,2025-07-09,CUST-0231,Elizabeth Singh,Corporate,PROD-0016,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluet",Technology,Audio,2196.69,1,0.05,362.87,United States,Central,Chicago,Central
ORD-000010,2025-07-02,2025-07-04,CUST-0142,Robert Williams,Consumer,PROD-0048,"Garmin Instinct® E 45mm, Rugged Outdoor GPS Smartwatch, 24/7 Health Monitoring, ",Technology,Wearables,95822.2,5,0.0,27677.53,United States,West,Los Angeles,West
ORD-000011,2023-06-09,2023-06-12,CUST-0065,Rahul Jones,Consumer,PROD-0035,NEO CHAIR Office Desk Gaming Computer Home Chair Ergonomic Executive High Back S,Furniture,Chairs,8622.7,1,0.1,892.61,United States,East,Boston,East
ORD-000012,2025-04-30,2025-05-03,CUST-0332,John Jones,Home Office,PROD-0015,"Soundcore P30i by Anker Noise Cancelling Earbuds, Strong and Smart Noise Cancell",Technology,Audio,13411.0,5,0.0,2601.02,United States,West,Seattle,West
ORD-000013,2023-01-28,2023-01-31,CUST-0153,Karan Singh,Home Office,PROD-0012,"ASUS Vivobook Go 15 15.6” FHD 60Hz Laptop with Intel Processor N150, Intel UHD G",Technology,Computers,57015.43,2,0.15,7984.03,United States,West,San Francisco,West
ORD-000014,2024-02-09,2024-02-14,CUST-0317,James Johnson,Home Office,PROD-0017,"Samsung Galaxy Buds 4 Pro (2026) AI True Wireless Bluetooth Earbuds, Hi-Res Audi",Technology,Audio,108787.59,5,0.05,31355.67,United States,East,Boston,East
ORD-000015,2023-05-20,2023-05-26,CUST-0126,Vikram Singh,Consumer,PROD-0055,"JBL Flip 6 - Portable Bluetooth Speaker, powerful sound and deep bass, IPX7 wate",Technology,Audio,62263.6,5,0.0,6328.65,United States,West,Seattle,West
ORD-000016,2023-08-12,2023-08-16,CUST-0150,Riya Davis,Consumer,PROD-0031,"Serta Amplify Executive Office Chair with Faux Leather and Mesh, Adjustable Ergo",Furniture,Chairs,11402.74,1,0.3,965.03,United States,South,Atlanta,South
ORD-000017,2024-08-27,2024-08-28,CUST-0374,David Smith,Home Office,PROD-0032,"Sweetcrispy Home Office Managerial Executive Chair, Ergonomic Mesh Adjustable Sw",Furniture,Chairs,35319.9,6,0.0,4077.33,United States,West,Los Angeles,West
ORD-000018,2023-08-14,2023-08-17,CUST-0007,James Miller,Corporate,PROD-0007,"ASUS TUF Gaming F16 (2025) Gaming Laptop, 16” FHD+ 165Hz 16:10 Display, Intel® C",Technology,Computers,592205.1,6,0.0,103738.89,United States,Central,Chicago,Central
ORD-000019,2023-09-05,2023-09-11,CUST-0118,Jennifer Singh,Home Office,PROD-0048,"Garmin Instinct® E 45mm, Rugged Outdoor GPS Smartwatch, 24/7 Health Monitoring, ",Technology,Wearables,114986.64,6,0.0,14050.47,United States,West,Seattle,West
ORD-000020,2023-08-04,2023-08-07,CUST-0305,Michael Miller,Corporate,PROD-0027,NEO CHAIR Office Desk Gaming Ergonomic Computer Chair with Lumbar Back Support A,Furniture,Chairs,21841.26,4,0.05,54.01,United States,West,Seattle,West
ORD-000021,2024-03-15,2024-03-22,CUST-0369,Priya Garcia,Corporate,PROD-0047,"Samsung Galaxy Watch 7 40mm Bluetooth AI Smartwatch w/Energy Score, Wellness Tip",Technology,Wearables,88711.85,5,0.0,10931.27,United States,South,Houston,South
ORD-000022,2023-06-02,2023-06-06,CUST-0111,Aman Garcia,Home Office,PROD-0056,"Anker Soundcore 2 Portable Bluetooth Speaker with Stereo Sound, Bluetooth 5, Bas",Technology,Audio,20995.7,5,0.0,6683.11,United States,Central,Chicago,Central
ORD-000023,2025-11-09,2025-11-14,CUST-0237,Priya Gupta,Corporate,PROD-0033,Martha Stewart Rayna Swivel Task Chair with Flared Arms for Home Office in Off W,Furniture,Chairs,34859.94,2,0.0,4357.86,United States,West,San Francisco,West
ORD-000024,2025-04-28,2025-05-02,CUST-0383,Jennifer Johnson,Home Office,PROD-0014,"Dell Latitude 5400 Laptop | 14"""" 1920x1080 FHD | Core i5-8365U - 256GB SSD Hard ",Technology,Computers,93857.75,5,0.0,9532.43,United States,West,Seattle,West
ORD-000025,2025-06-26,2025-06-28,CUST-0163,John Verma,Consumer,PROD-0046,"Garmin Instinct® 3 45mm, Solar Charged Display, Rugged Outdoor GPS Smartwatch, M",Technology,Wearables,129362.13,5,0.1,10587.01,United States,East,Philadelphia,East
ORD-000026,2023-11-20,2023-11-23,CUST-0226,Michael Singh,Corporate,PROD-0012,"ASUS Vivobook Go 15 15.6” FHD 60Hz Laptop with Intel Processor N150, Intel UHD G",Technology,Computers,90553.92,3,0.1,7261.93,United States,East,New York,East
ORD-000027,2023-02-14,2023-02-15,CUST-0399,David Sharma,Home Office,PROD-0027,NEO CHAIR Office Desk Gaming Ergonomic Computer Chair with Lumbar Back Support A,Furniture,Chairs,27301.57,5,0.05,2148.51,United States,South,Atlanta,South
ORD-000028,2024-06-01,2024-06-06,CUST-0384,James Davis,Consumer,PROD-0049,"Amazfit Active Max Smart Watch 1.5"" AMOLED Display, 25-Day Battery, Offline Maps",Technology,Wearables,34208.22,3,0.3,8369.93,United States,East,New York,East
ORD-000029,2023-03-14,2023-03-20,CUST-0048,Priya Khan,Home Office,PROD-0008,Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX,Technology,Computers,459963.84,6,0.0,38158.56,United States,South,Miami,South
ORD-000030,2023-07-28,2023-08-01,CUST-0089,James Jones,Corporate,PROD-0011,"GEEKOM GeekBook X16 Pro 2.8 lbs Laptop, 16"" IPS 2.5K 16:10 Laptop Computer, Ultr",Technology,Computers,245614.18,2,0.05,22242.0,United States,South,Houston,South
ORD-000031,2025-06-25,2025-06-29,CUST-0046,Michael Verma,Corporate,PROD-0052,"Bluetooth Speaker Wireless,IP67 Waterproof & Dustproof Portable Speaker with Lig",Technology,Audio,3448.04,2,0.1,861.73,United States,West,Los Angeles,West
ORD-000032,2023-08-29,2023-09-04,CUST-0125,Rahul Davis,Home Office,PROD-0037,"Ergonomic Office Chair with Lumbar Support, High Back Mesh Desk Chair with Flip-",Furniture,Chairs,9585.0,1,0.2,1027.17,United States,South,Houston,South
ORD-000033,2025-01-06,2025-01-12,CUST-0252,Mary Patel,Consumer,PROD-0029,Marsail Ergonomic Mesh Office Chair High Back Desk Chair Adjustable Lumbar Suppo,Furniture,Chairs,23592.79,4,0.05,2959.49,United States,Central,Dallas,Central
ORD-000034,2025-12-02,2025-12-06,CUST-0121,Priya Davis,Home Office,PROD-0011,"GEEKOM GeekBook X16 Pro 2.8 lbs Laptop, 16"" IPS 2.5K 16:10 Laptop Computer, Ultr",Technology,Computers,387811.86,3,0.0,77167.41,United States,Central,Dallas,Central
ORD-000035,2023-11-04,2023-11-06,CUST-0238,Priya Gupta,Corporate,PROD-0055,"JBL Flip 6 - Portable Bluetooth Speaker, powerful sound and deep bass, IPX7 wate",Technology,Audio,56037.24,5,0.1,9269.63,United States,East,Boston,East
ORD-000036,2023-03-06,2023-03-10,CUST-0116,David Singh,Corporate,PROD-0044,"Samsung Galaxy Watch 8 (2025) 44mm Bluetooth Smartwatch, Cushion Design, Fitness",Technology,Wearables,91991.04,3,0.0,18236.66,United States,West,San Francisco,West
ORD-000037,2025-10-28,2025-11-02,CUST-0028,Neha Singh,Home Office,PROD-0015,"Soundcore P30i by Anker Noise Cancelling Earbuds, Strong and Smart Noise Cancell",Technology,Audio,10728.8,4,0.0,1540.97,United States,Central,Austin,Central
ORD-000038,2025-06-29,2025-07-05,CUST-0276,Riya Williams,Corporate,PROD-0044,"Samsung Galaxy Watch 8 (2025) 44mm Bluetooth Smartwatch, Cushion Design, Fitness",Technology,Wearables,110389.25,4,0.1,27502.31,United States,West,Los Angeles,West
ORD-000039,2025-07-23,2025-07-24,CUST-0166,Linda Gupta,Consumer,PROD-0023,Serta Bryce Executive Office Chair - Ergonomic Computer DeskChair with Lumbar Te,Furniture,Chairs,119299.8,5,0.0,21935.51,United States,West,Los Angeles,West
ORD-000040,2025-08-23,2025-08-24,CUST-0248,Aman Garcia,Home Office,PROD-0050,"Garmin epix Pro (Gen 2) Sapphire Edition, 51mm, High Performance Smartwatch, Adv",Technology,Wearables,73785.45,2,0.3,16252.39,United States,Central,Dallas,Central
